County,State,2013,2014,2015,2016,2017,2018
Ada County, ID,180900,197800,218900,232500,256400,296800
Adams County, PA,192900,190700,193800,206900,203500,206800
Adams County, CO,191900,200600,240300,275100,308400,343400
Adams County, IL,108800,112300,117600,130500,128200,137800
Aiken County, SC,120300,136500,141400,148100,144600,154000
Alachua County, FL,156400,159300,170900,177100,172500,193100
Alamance County, NC,139800,133700,141100,148700,153800,151900
Alameda County, CA,518900,587600,656700,713600,781000,842000
Albany County, NY,206800,208200,209300,221500,227000,224300
Albemarle County, VA,319300,343900,324700,331700,336200,389100
Alexandria city, VA,462500,520300,541700,578500,573200,561800
Allegan County, MI,140100,136800,152500,157600,160000,170200
Allegany County, MD,117700,122700,115500,115400,120400,113900
Allegheny County, PA,127500,133500,141700,147100,153500,163300
Allen County, OH,111200,98800,113500,112000,121500,118600
Allen County, IN,110600,113600,123100,121300,133100,132400
Anchorage Municipality, AK,295500,289400,302500,320800,320000,321300
Anderson County, SC,130200,125800,136000,132900,142600,146300
Anderson County, TN,120100,139300,128700,127600,155200,152500
Androscoggin County, ME,145900,153800,147500,155800,153500,158900
Angelina County, TX,90100,80800,96200,104600,111700,109300
Anne Arundel County, MD,329300,336000,345900,359600,360200,371400
Anoka County, MN,178200,188300,205300,215200,229900,247000
Apache County, AZ,93900,82900,58400,72800,49400,52300
Arapahoe County, CO,236400,257700,290800,319000,366300,392400
Arecibo Municipio, PR,87000,105300,93800,96700,97800,95900
Arlington County, VA,598200,604600,655000,678100,735100,707000
Armstrong County, PA,90200,89400,108200,94500,114400,115300
Aroostook County, ME,90400,89000,104200,98800,101000,96700
Ascension Parish, LA,172600,162700,183300,195600,211000,221500
Ashtabula County, OH,103900,100800,107300,111400,113400,112700
Athens County, OH,,,124500,108400,154400,118400
Atlantic County, NJ,218600,217000,223400,215100,211600,219300
Augusta County, VA,197500,206200,198900,213500,211700,225200
Baldwin County, AL,167500,180100,177800,189100,199800,193800
Baltimore city, MD,150000,150800,155600,153500,154400,167800
Baltimore County, MD,236800,246400,250200,256800,259700,269900
Bannock County, ID,145300,139600,151500,146100,156900,165800
Barnstable County, MA,361300,359700,375300,383200,401100,408000
Barrow County, GA,112400,117300,140800,142300,156400,169300
Bartholomew County, IN,129800,132400,136800,147500,148500,155700
Bartow County, GA,131400,117100,144400,155700,165400,177900
Bastrop County, TX,113500,126300,156900,182300,180900,171600
Bay County, FL,142800,163200,165600,177700,171500,179200
Bay County, MI,88400,104600,94100,100600,102800,105900
Bayam??n Municipio, PR,146600,140100,139200,134900,127700,128100
Beaufort County, SC,265600,271100,277800,272400,305300,312200
Beaver County, PA,120500,119600,131500,137600,138300,140800
Bedford County, VA,192700,202400,198500,200300,198900,205400
Bell County, TX,131600,127700,133200,141100,147200,153500
Belmont County, OH,85400,92300,92600,99500,115200,98500
Benton County, OR,276300,265800,275800,312400,351100,356600
Benton County, AR,143500,157200,166200,170200,180500,196700
Benton County, WA,176500,189500,197300,206500,238900,261200
Bergen County, NJ,435100,434400,451100,462800,470300,476200
Berkeley County, WV,158200,161900,170600,174100,174000,177500
Berkeley County, SC,152100,155100,164700,174500,184500,195900
Berks County, PA,166900,168600,171100,174800,173700,186000
Berkshire County, MA,199700,202200,209400,198100,205900,224800
Bernalillo County, NM,185000,184600,189000,194200,198000,208400
Berrien County, MI,123100,141600,141200,153600,150400,152900
Bexar County, TX,126500,133500,142100,150200,160100,169700
Bibb County, GA,123000,110600,106600,113000,117400,125300
Black Hawk County, IA,127800,134700,140500,141800,153300,143900
Blair County, PA,115200,112500,114800,114700,129600,128500
Blount County, TN,155500,165100,169600,173000,175500,197200
Blue Earth County, MN,161300,165500,171100,172200,185600,191900
Bonneville County, ID,153100,157500,166200,165300,170900,198900
Boone County, MO,172900,170700,181000,178500,181900,192200
Boone County, KY,175300,181300,185700,178600,191500,195800
Boone County, IN,,,,,221600,244900
Bossier Parish, LA,150500,155400,168500,175500,170400,159600
Boulder County, CO,349100,383100,416500,467600,504800,554100
Bowie County, TX,104600,117100,101400,111100,132000,116500
Bradley County, TN,144100,137800,154000,147400,166100,166300
Brazoria County, TX,147600,150300,164300,174800,195200,205600
Brazos County, TX,150100,161200,177000,187600,190600,231700
Brevard County, FL,135900,149400,158800,175600,195400,221300
Bristol County, MA,267300,274500,275000,290900,301800,317500
Bronx County, NY,369400,359100,368500,378000,400300,436100
Broome County, NY,107700,114200,111900,121600,114200,119500
Broomfield County, CO,,,342800,383600,416600,444600
Broward County, FL,181000,200900,222900,246100,260700,277600
Brown County, WI,159200,157100,159500,166100,173400,180400
Brunswick County, NC,195100,176100,200300,205300,214300,218200
Buchanan County, MO,110700,113000,111600,121000,118200,131200
Bucks County, PA,301300,311000,318600,322400,326700,338500
Bullitt County, KY,150100,143700,147200,156600,164600,173600
Bulloch County, GA,123400,114000,140500,147400,135400,146700
Buncombe County, NC,193500,191100,204000,221000,240100,257200
Burke County, NC,113500,115800,120700,116200,125100,119400
Burleigh County, ND,207400,219500,245000,249700,266000,272400
Burlington County, NJ,244500,241000,246300,248600,244400,251400
Butler County, OH,157800,154300,164800,168400,167800,181300
Butler County, PA,178400,179700,190600,195900,210200,217400
Butler County, KS,125600,145600,142600,145200,153400,148200
Butte County, CA,217600,225400,246700,256500,268900,274200
Cabarrus County, NC,168400,169800,170600,199200,208000,219700
Cabell County, WV,100000,113000,118500,126600,139700,120600
Cache County, UT,186200,192900,203400,216000,218400,258500
Caddo Parish, LA,118500,123600,144600,151500,149000,143300
Caguas Municipio, PR,138000,140600,131500,132300,119000,128200
Calcasieu Parish, LA,114900,116100,140600,146800,165900,162400
Caldwell County, NC,105600,115700,106800,110500,119800,122500
Calhoun County, AL,92900,106500,111400,115600,117700,121800
Calhoun County, MI,95300,95800,101400,113900,116200,107700
Calvert County, MD,338500,340700,345300,356400,355400,362500
Cambria County, PA,85300,88800,89100,93400,91600,94600
Camden County, NJ,189900,194300,193800,197400,197900,198600
Cameron County, TX,82300,76200,82800,80000,92000,86500
Campbell County, KY,149600,157600,164100,166000,180500,177500
Canadian County, OK,142300,146700,156000,163100,166600,163800
Canyon County, ID,114100,129700,149200,153100,177300,190500
Cape Girardeau County, MO,139200,142500,155100,157800,158300,160600
Cape May County, NJ,308200,296800,311800,290900,297600,306900
Carbon County, PA,139000,124600,146000,139000,151400,140800
Carolina Municipio, PR,153000,152300,148600,142600,134400,140200
Carroll County, MD,314100,325100,330700,334900,336700,348500
Carroll County, GA,105600,121700,125400,123500,132800,143400
Carteret County, NC,189600,194500,199800,218500,204500,218500
Carver County, MN,258600,278900,291800,297300,315500,335300
Cascade County, MT,160800,160900,168600,169500,174300,189300
Cass County, ND,170600,179600,200500,203100,224800,230300
Cass County, MO,157500,163200,164800,168300,172100,192900
Catawba County, NC,142500,136700,128400,145600,143200,154400
Catoosa County, GA,135200,129100,137500,142100,137900,142300
Cattaraugus County, NY,85000,85400,88100,83200,88300,86200
Cayuga County, NY,119800,111700,122600,127000,120900,137500
Cecil County, MD,248200,226800,242500,238400,234500,240500
Centre County, PA,198700,198500,206600,224400,232300,234700
Champaign County, IL,147300,145500,157800,161500,169200,167400
Charles County, MD,273800,285300,287900,310200,318000,318900
Charleston County, SC,232100,249700,278600,286000,330300,339900
Charlotte County, FL,138000,146300,167300,180600,193600,206600
Chatham County, NC,237200,234100,220400,295800,277400,319400
Chatham County, GA,174800,165900,176500,176200,192500,213400
Chautauqua County, NY,85700,83500,86300,87000,87500,86700
Chaves County, NM,105700,108400,100000,103700,120100,118600
Chelan County, WA,242500,236500,250500,259300,289900,320100
Chemung County, NY,96500,111800,98600,111600,112900,105300
Cherokee County, GA,187300,183200,223200,236100,251100,264000
Chesapeake city, VA,253900,253000,259200,267100,270200,274600
Cheshire County, NH,184000,181600,194100,186800,200300,192700
Chester County, PA,321100,325500,332900,347700,355000,367800
Chesterfield County, VA,206700,216900,221100,231600,240500,246800
Chittenden County, VT,273900,269300,282800,292900,293800,301200
Christian County, MO,139400,153400,155200,163800,161800,177500
Christian County, KY,111700,112800,104500,113200,122800,122600
Citrus County, FL,107500,116300,115900,121900,128900,137600
Clackamas County, OR,294800,302300,336200,374900,404200,439100
Clallam County, WA,218300,215600,220300,225200,256200,281800
Clark County, OH,102300,100800,102100,109500,121000,119200
Clark County, NV,162300,188700,217300,233700,250000,286600
Clark County, WA,225600,239800,262700,294400,329200,358500
Clark County, IN,121400,129500,137500,136800,137200,154600
Clarke County, GA,141800,150000,153300,170400,167300,191800
Clay County, MO,149800,153900,159300,166900,176100,186800
Clay County, FL,145200,157900,166900,170300,177700,194800
Clayton County, GA,78200,85700,91200,94900,103500,116700
Clearfield County, PA,84500,87100,91500,94100,96600,99300
Clermont County, OH,154700,153600,164700,169600,161500,171100
Cleveland County, OK,149400,147900,155800,163300,162800,169800
Cleveland County, NC,98800,99400,112500,121800,112500,125800
Clinton County, NY,121200,130200,128700,130500,136900,135500
Clinton County, MI,157200,161300,155200,172800,177100,174600
Cobb County, GA,182700,203600,224300,234100,254300,278700
Cochise County, AZ,150000,144800,146900,130100,155600,142200
Coconino County, AZ,204800,227500,228600,272000,277400,293800
Cole County, MO,139800,160800,158500,153600,162600,167300
Collier County, FL,260400,273100,315000,357300,358900,369700
Collin County, TX,216200,232100,261800,288100,323500,340600
Columbia County, PA,129700,141400,151500,145300,151700,159900
Columbia County, FL,97600,106700,110200,111700,145500,124100
Columbia County, GA,173700,171800,185500,189800,201000,217500
Columbiana County, OH,94400,99800,109400,110000,102000,102900
Comal County, TX,197900,230100,239300,268200,282300,286900
Comanche County, OK,112200,120300,121100,129400,139900,116400
Contra Costa County, CA,424100,474000,522500,577000,642300,670000
Cook County, IL,209700,213600,230900,234400,247600,255900
Coryell County, TX,99600,106900,113700,99300,115200,118100
Coweta County, GA,175200,189400,187400,188600,213800,233700
Cowlitz County, WA,179300,165400,187900,197000,208900,244000
Craighead County, AR,128900,136500,132900,135400,137500,149700
Craven County, NC,152000,152000,156900,158600,159600,168300
Crawford County, PA,100400,100300,110400,114500,114600,113700
Creek County, OK,106300,102000,109600,113700,135000,126800
Cullman County, AL,117400,109100,128600,133100,123700,127700
Cumberland County, NC,130800,124100,128600,134300,136500,138700
Cumberland County, PA,188400,191300,192700,200200,202300,208200
Cumberland County, NJ,158800,166000,157300,165900,162100,166900
Cumberland County, ME,239800,257500,261300,270500,273400,294400
Cuyahoga County, OH,118800,120700,124400,126700,131700,139100
Dakota County, MN,218800,225000,237000,248700,266000,279300
Dallas County, TX,127200,135500,145800,154300,175000,196300
Dallas County, IA,190500,213600,205700,234700,243300,269600
Dane County, WI,228400,233000,240800,255900,263300,275200
Darlington County, SC,90200,78000,90800,84900,85500,107400
Dauphin County, PA,160300,158100,158500,167500,173600,171000
Davidson County, NC,133300,130800,134400,131800,140000,151100
Davidson County, TN,166100,171700,188200,213300,250200,277100
Daviess County, KY,112400,121400,117500,138900,136200,142500
Davis County, UT,224800,230600,243900,258600,282800,317300
DeKalb County, AL,106800,90500,101000,101600,114500,112000
DeKalb County, GA,154800,158800,176800,200500,199800,235100
DeKalb County, IL,160600,168600,162600,168400,169800,178800
Delaware County, OH,246200,263700,285300,296200,300200,320000
Delaware County, PA,227600,226800,235500,239500,244900,254000
Delaware County, IN,85700,88300,94100,91900,92100,96000
Denton County, TX,190600,205000,224600,251400,280600,305200
Denver County, CO,263900,283100,316700,360900,395100,435100
Deschutes County, OR,240000,257200,312600,317500,368600,408500
DeSoto County, MS,152400,149000,162200,158600,171600,170800
District of Columbia, DC,470500,486900,551300,576100,607200,617900
Do?ña Ana County, NM,134600,135600,146700,141300,145200,144400
Dodge County, WI,150300,152200,154100,160600,164700,173800
Dorchester County, SC,171000,163000,176200,180300,203900,219400
Dougherty County, GA,96900,102800,100900,90000,101400,104100
Douglas County, OR,163800,171200,170400,183400,200600,216400
