County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Accomack County,Virginia,1023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,167040,161492,172375,207400
Ada County,Idaho,161,200700,175033,158642,137725,152808,178467,188142,207408,220917,237917,278667,308775,338700
Adams County,Colorado,141,146550,145133,155342,148517,165508,191200,212842,243608,275975,306450,336883,349817,364700
Adams County,Pennsylvania,521,190650,179167,168583,159158,158092,153467,164375,171233,168208,178342,189492,193925,213450
Adams County,Nebraska,1049,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,124092,134208,163500
Aiken County,South Carolina,362,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,118925,123925,128033,142292,167800
Aitkin County,Minnesota,1238,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,162100,150267,144258,147208,158617,163525,169717,179383,180450
Alachua County,Florida,245,165870,156925,148892,125558,121600,127017,127850,140950,154325,164017,169858,186750,230600
Alamance County,North Carolina,385,131050,126700,128367,125592,125242,126775,128700,138142,141392,154167,162675,167208,157700
Alameda County,California,19,432070,335933,374833,342275,362175,471533,543608,604875,656208,716458,796267,798933,#DIV/0!
Albany County,New York,200,187310,186775,191458,187842,191450,193875,193008,194258,194300,198942,208425,213758,214600
Albemarle County,Virginia,532,306290,281833,275475,253892,263258,297333,285700,281308,302350,320283,337300,329092,374400
Alexander County,North Carolina,969,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,146950,144225,130958,158708,199100
Alexandria City,Virginia,406,392600,381700,414092,428800,442792,467467,459600,477417,471433,474392,510392,507267,538700
Allegan County,Michigan,483,108530,90425,96600,89442,103542,114058,127267,133192,143925,158800,168892,175367,192350
Allegany County,Maryland,644,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,71450,75508,68050,66817,74392,79108,84500,84300
Allegheny County,Pennsylvania,27,90370,96792,107733,107700,113900,118225,121867,130200,133942,139717,149292,157575,177350
Allen County,Indiana,174,#DIV/0!,#DIV/0!,101300,93083,102583,104700,107092,111708,122533,127242,136458,147933,156400
Allen County,Ohio,503,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85544,87558,93858,91242,106908,110517,110200
Allen County,Kentucky,1203,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108780,111833,121717,118833,#DIV/0!
Alpena County,Michigan,1065,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,82117,81533,78908,85142,92833,113950
Amador County,California,955,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,182492,210475,234508,259025,288592,301917,310250,308450
Amherst County,Virginia,1039,#DIV/0!,138800,126475,131500,127550,139708,127808,130750,135450,143675,149275,154325,158650
Anderson County,South Carolina,309,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,130322,137892,147625,162850
Anderson County,Tennessee,643,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,123860,125783,136125,147425,158800
Anderson County,Kentucky,1181,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107750,96067,111408,119567,126442,140075,141592,153183,150950
Andrew County,Missouri,1225,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,133211,132017,148733,172133,179150
Androscoggin County,Maine,495,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,153429,159808,171875,175650
Anne Arundel County,Maryland,110,#DIV/0!,#DIV/0!,279171,269158,279183,292567,297808,291275,293483,300467,320642,328200,340450
Anoka County,Minnesota,185,185670,166408,158900,145050,145075,162533,176717,191267,207867,220325,236300,251108,267300
Anson County,North Carolina,1103,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,65950,80700,83158,80500
Apache County,Arizona,660,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,139700,130792,124750,129283,138542,135792,148775,182050
Arapahoe County,Colorado,103,174710,174283,181775,170800,192433,218775,233325,260042,292817,323517,350792,367292,384350
Archuleta County,Colorado,1266,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,232600,219817,247267,273208,291700,319733,324300
Arlington County,Virginia,279,431990,427958,448533,477758,489292,503925,514150,534092,527558,544567,571600,620742,634750
Armstrong County,Pennsylvania,672,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,64140,75008,74300,67517,73025,76158,87383,107400
Ascension Parish,Louisiana,499,204220,193250,184942,187458,186300,194933,203450,210683,217550,215550,224475,227400,227800
Ashe County,North Carolina,1098,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,151300,158108,145775,165975,175775,180867,185100,198283,223150
Ashtabula County,Ohio,519,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90900,72983,76908,79867,77200,84575,88225,96642,#DIV/0!
Asotin County,Washington,1178,#DIV/0!,#DIV/0!,#DIV/0!,149113,157600,148508,163092,161233,168583,183533,201183,196208,215850
Atascosa County,Texas,868,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,163082,170517,177117,191375,235300
Athens County,Ohio,701,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,113650,123075,145200
Auglaize County,Ohio,855,#DIV/0!,89267,86767,92667,95183,99258,103992,101025,110842,111992,121558,128892,142750
Augusta County,Virginia,652,#DIV/0!,180300,171758,168517,168842,174767,179708,180700,191708,195050,216700,233025,217900
Austin County,Texas,1079,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,189133,207833,196683,223658,222192,265100
Baker County,Florida,1100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129067,136025,146600,159483,183067,196167,210750
Baker County,Oregon,1239,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,138789,113892,119808,146250,142133,171450
