RegionID,County,State,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3101,Los Angeles County,California,1,458700,448500,432200,419300,403400,388200,373100,359700,346400,334000,320900,312200,305000,299800,295200,298600,304300,313000,319200,323300,326300,330600,335200,335000,332500,329900,334500,332800,333300,327500,330700,328300,329600,328900,324800,324700,320500,324800,322400,318600,315900,312200,312600,306800,307000,306100,306500,306900,306400,311300,312100,315600,318000,323400,331200,338500,346300,353700,356900,360500,366900,382100,395800,406700,413400,419100,421500,423100,422000,422800,419100,421600,420600,426300,427800,427200,428400,429500,432800,434500,436200,441000,443700,448200,450700,455000,455400,457700,457000,460200,460500,460700,459400,469900,474700,479300,475100,482400,489500,492700,491800,491200,493400,490500,492700,490600,497100,491700,496300,495600,505300,508400,512500,515400,521400,529900,541100,549400,555300,559200,562100,563400,566700,570700,573800,577000,579800,587900,594200,595100,596600,596000,601600,604900,604300,602700,606400,608800,613100,611300,616500,625100,632600,638800
139,Cook County,Illinois,2,278800,274600,252600,240000,233600,233300,237500,238000,230200,224100,215300,214500,210900,206600,196500,188200,187800,194100,197600,199200,200000,199100,200800,196700,193900,189200,187000,187600,179900,175600,167500,171300,173600,177000,175800,177100,169800,164300,154000,153300,154700,159100,162000,161600,156000,153100,150200,150100,150400,150800,151400,153500,155700,158900,158700,153700,153100,150800,154400,153600,153200,152500,156300,166400,176900,185500,186400,187700,184400,185500,183900,187700,184400,182700,182000,187700,192800,197200,201400,202900,201000,198200,199300,199100,200900,204500,206300,205100,200200,194500,192500,187800,185200,182500,180900,182200,182000,184700,185500,186700,188000,190300,190500,192300,194100,198800,199500,201200,200300,201600,199800,198600,196700,198200,198100,199800,201000,204900,210300,217100,224000,225100,220200,220100,221100,225600,224600,225900,230000,222600,225900,232300,248300,251000,242900,235300,229000,230000,230400,233200,234700,240500,244600,256600
1090,Harris County,Texas,3,137500,135600,132300,132300,132800,134400,135800,135200,132600,127100,126300,125500,128200,128300,129900,132500,136700,139300,140300,138300,136800,134200,134700,134400,135000,134300,133600,132900,130900,131200,130400,132400,134100,137800,136700,135300,132700,130700,129400,129400,131500,133200,133800,134800,135200,135900,134100,130900,130300,133400,137600,139800,140700,140300,139300,136700,139000,140300,142700,141300,142500,146400,150800,154200,156100,157900,159500,159100,160100,160400,161100,162600,164700,166600,167600,166700,166300,166800,166700,168800,168100,169000,169800,169800,171500,171200,172300,173000,173700,175900,175000,174800,173500,175200,177100,178100,176800,176000,177400,179600,182200,181700,183500,184000,186300,186800,187400,188000,189000,188800,188800,189600,190400,191100,192200,194300,195700,194800,194900,196300,197700,198700,197800,197100,197000,197100,199100,200100,203000,205400,207700,208600,208300,207700,208600,209500,209100,209000,209000,212800,215100,218900,220100,223400
2402,Maricopa County,Arizona,4,231000,221400,212300,207500,200800,195600,186600,179400,170900,160700,149800,137300,128700,121100,118100,120200,124300,128300,130300,130800,134100,133600,135000,133500,133800,132700,130600,129300,127900,125800,124100,122600,121600,117600,117200,116600,116800,113600,109700,109700,109500,111500,113000,114400,118400,119900,116600,112100,110200,115600,120200,123000,124500,126500,127700,131500,136100,140000,142400,142600,145200,147300,150000,152800,155500,156300,156700,157200,156900,158500,158200,159500,158700,159200,159300,158000,158900,159500,163300,163600,164500,166100,166400,169300,171100,174900,176900,178600,179100,180000,181700,183900,185600,187800,188800,189900,191500,194100,196500,197600,198200,200300,202200,204700,208000,208100,209900,209900,211900,211600,212100,212200,213900,216200,218500,220200,223700,225700,230500,233000,235800,235200,234000,234900,238200,240200,241200,242100,243900,244100,246600,248400,250900,249400,249600,251300,254500,255700,258100,261100,265700,268900,274500,281300
2841,San Diego County,California,5,404900,396200,381200,369100,353400,341400,331200,320800,309500,301500,293300,290300,284500,284300,282800,290200,297600,307800,314100,317500,321300,325500,323500,326500,327200,334400,332100,329000,328000,327200,328600,329500,333100,335300,326500,321000,317700,321100,320700,317400,317000,315400,313100,312100,312900,314700,314400,313300,316500,320900,326200,326500,331600,335300,343100,348500,356500,364300,365000,365800,368600,380700,392600,400000,404700,406900,412000,412500,415600,417300,418000,418000,418800,423400,427300,429400,431700,434600,436700,440300,439300,437700,440000,444500,450300,449700,450400,454400,457800,460100,456800,455800,461300,466600,473400,471800,474100,474800,478400,478400,478700,480700,484800,493400,496100,499600,500300,505500,509600,511000,513500,517900,521100,523800,526200,530500,538800,543500,544900,546400,548500,555500,555500,557500,555900,558000,560500,561900,560100,557900,556800,559000,557900,560400,559300,562300,561400,564200,561800,568300,576700,582900,587800,
1286,Orange County,California,6,512100,504700,486800,467100,452200,441100,432200,421300,405100,394400,380900,381100,380400,379000,382500,389900,403700,411300,419000,427000,432500,436200,440200,440900,438800,431200,428000,425100,429900,431400,436100,434800,434100,426000,423100,422000,428400,426100,419900,412100,412700,412000,414500,408700,408300,401700,403100,401800,403600,404100,408200,416900,427300,437300,443000,447900,452300,461000,470400,483000,493100,506000,512900,518900,520800,524700,527100,524800,528000,534600,542900,548800,548400,547400,547300,547700,548000,548700,552000,562700,566200,567300,562600,568800,573200,576900,572900,575900,581000,586500,588600,588300,592400,596800,605700,606100,606600,606100,609000,612300,610800,617700,616100,614300,602300,598400,593700,592500,594600,601000,609000,610000,611300,608400,616700,632400,656500,670500,679200,688400,700200,699400,693100,687700,692500,694200,698700,699600,700300,694500,696400,699600,704600,708500,704600,702600,700800,700500,703600,708100,717800,725300,740200,759100
2964,Miami-Dade County,Florida,7,287800,277900,269500,257500,251800,244200,235500,224000,211500,203800,190000,181200,170200,162000,155500,151300,154000,157000,157400,156800,155300,156900,161300,164300,169100,167500,167000,160100,152000,142700,134400,136200,141200,141400,129300,122000,121900,131600,138900,143800,155400,154500,151000,143400,142900,149200,153900,157900,158300,160200,159900,163800,162000,163100,163400,164200,166800,173300,177600,183400,181100,184200,188200,192600,195300,199800,199700,195900,196100,197400,202400,194400,194800,197500,203600,205200,208400,208300,209300,208400,209000,212200,212300,213600,215200,216000,221400,222100,224000,221200,223000,222600,225300,223400,228000,229800,232100,230500,229300,231800,235500,239700,242200,246200,249900,251000,251800,251700,254600,257600,257600,257600,254600,259400,263200,265800,264500,264500,268900,272600,276600,274600,270900,268000,267200,270100,268900,272900,273300,276800,274100,276500,278800,282300,281500,283100,283200,289300,288500,291000,290000,292600,293300,297000
978,Dallas County,Texas,8,125300,122700,122100,122300,125300,127200,127700,125000,122700,117200,114700,113000,115500,114500,116000,118900,123400,126100,127600,128300,129800,127500,126900,121900,122500,123600,125700,125600,123900,124500,125200,124300,125200,126500,128000,126700,121600,119200,119800,121600,123400,124800,127500,126900,125300,127800,127500,129200,130600,133200,136000,136400,142200,144400,145200,144300,142900,144600,142900,144500,148600,156800,162900,166200,169200,171100,171900,168400,168500,166200,166500,166500,168000,168600,166400,166300,168300,170500,171100,171300,172000,173800,174900,177600,181200,182300,182900,181300,182700,183700,182200,184000,184500,186100,185100,185000,187400,189100,193400,195000,195800,194500,197900,200700,203900,202300,206500,207900,210000,209600,211600,211000,210800,214200,217800,221000,219000,221800,223500,230700,230300,229500,225400,226200,226000,224800,225100,225200,228400,232700,235300,235300,231900,232100,231100,231400,230900,233800,239200,242500,245900,244300,250100,249000
2832,Riverside County,California,9,314800,297900,282700,270700,258600,247000,235400,228700,219500,210200,201000,193200,184800,175100,169300,168600,169800,172000,173700,177100,181200,186500,191400,193900,192700,189600,190700,192600,193800,192000,191000,190700,189000,188500,189200,191700,191100,188000,185700,184600,183500,181500,181900,183500,185300,184200,184800,185600,188000,190900,192000,193100,193900,192600,196200,202100,211600,218600,222500,226700,230600,234100,238400,243600,251800,255600,258600,260000,265600,269300,273500,275300,276500,275600,277100,278400,280500,281500,281600,283100,282600,285000,284800,291100,290900,294400,292100,294100,295000,296500,298000,299900,301100,304600,306900,307400,309400,309900,312000,311600,311800,316100,319600,320600,318800,317000,318700,321700,324600,327600,327100,329000,332000,336100,337600,343500,347000,350800,355800,364000,366700,365100,364000,367500,368000,366000,369500,370700,376600,377400,382800,383400,382200,379200,378000,379700,380100,383100,386200,390600,391900,389900,390000,395000
3250,San Bernardino County,California,10,270700,257700,242500,233500,221900,213800,204100,198000,188500,179900,169500,161900,153900,144000,136200,132600,132400,135500,139000,142900,146200,148200,150600,150400,149500,148300,148300,150000,151000,152800,153800,153100,152100,150500,151700,151900,150700,147800,145200,143900,145100,147100,149300,148600,148900,147000,148300,146400,147500,147600,149600,152600,156000,160200,163500,165600,171000,173600,176600,174400,176600,179000,185400,189500,192700,196600,204800,214000,214900,218000,217500,222600,220500,223200,225400,229300,230100,231000,230700,233900,237100,240500,239300,239800,242700,247000,245800,244600,247000,252800,255600,254100,255700,257800,261300,262600,263600,262600,263500,262400,266400,265300,273600,271700,273700,268800,267600,267600,268800,272900,275500,277600,278800,280900,285400,293300,299500,302000,304100,310200,312000,315200,312000,316300,316300,318900,318500,319200,316600,314000,315300,319300,323800,324300,325200,324300,323500,324500,330200,334900,335700,333100,338900,345100
