RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455600,460900,466500,467100,471300,471400,468500,469800,471100,476700,470900,455900,446500,441000,448000,451400,460500,470600,477400,484700,482700,487000,491400,501900,497500,492500,477400,478400,481000,482700,481700,475000,483000,489800,499000,485600,480500,473300,487300,485500,482700,482000,492100,500900,500700,496200,488900,490500,491800,500700,506900,508100,510400,509700,516200,518200,522000,524000,527700,531100,536600,525400,548300,551500,562200,538700,536100,533000,528800,521900,528900,531900,534900,531200,531700,534800,536300,543300,544100,557000,552900,552600,540200,541900,543400,553500,554000,560700,557300,556200,546700,544700,548400,558700,559700,561700,562800,556800,562600,562400,573200,560000,563000,571000,573200,570100,559200,568200,569400,564500,563100
12447,Los Angeles,California,2,507600,489300,463200,453100,438500,423300,408100,396300,384100,371100,356800,348400,342900,333300,325000,326400,332700,338700,342500,345200,348700,352300,359600,363700,360200,353900,351700,351000,352200,348500,351000,348900,351300,353600,350300,352600,343800,345800,341600,342400,340900,338700,336800,329700,326400,324500,325900,328000,328900,332800,331400,335700,342500,351700,361600,364400,373500,388700,398100,410800,413200,428400,437600,450600,462600,465700,470300,470100,465700,457000,445900,448900,448400,454600,456200,457500,460900,462500,466300,469500,469400,473600,474100,481800,485700,491500,488900,489800,493400,502800,504100,499100,498000,509800,520100,525000,520900,525500,529800,531800,531700,532800,538300,536200,540600,537700,549100,548200,554700,550500,556000,561000,567400,567900,573100,581600,600200,608000,611100,616500,623800,630800,628800,635000,633700,639100,642900,660600,671400,673300,680400,684000,699200,702000,702700,705300,711100,717300,714400,711500,717600,725600,738300,758900
39051,Houston,Texas,3,138200,135200,132100,131000,133400,135300,138000,136500,133200,126400,125500,123900,126900,126300,128300,132500,137700,140700,142400,141400,140100,136200,135000,134500,135700,136000,135700,135100,131200,130900,129400,133500,136200,142000,139800,137900,132900,130600,129800,131900,133800,134000,132600,135500,137400,139500,135000,131200,131100,137100,143500,146200,145600,143800,140300,138500,142100,145500,148900,147300,147300,151600,155400,160100,162000,163500,164900,163800,165300,166400,165700,167400,167300,170000,169800,169000,169100,169400,168300,170600,168700,169300,169100,168200,170100,167700,169700,169800,172000,174500,174000,172600,171000,172800,177900,178700,176600,174800,177500,179400,181400,180400,183500,184700,187500,188000,188000,189900,191800,192400,190300,191600,189500,190600,189600,192400,193800,193500,193000,195500,196700,198100,195700,194400,195000,195400,198200,199800,203200,203900,206600,204800,206300,205600,209900,209500,207300,207300,207000,211700,212400,218500,219600,225200
17426,Chicago,Illinois,4,325300,315800,286700,274900,268600,264500,266900,268100,259000,253100,241900,248900,245200,238800,223400,214900,216700,220000,222000,221700,225100,223900,228900,222900,219300,212700,214700,218000,206900,194600,179900,185200,189500,190300,188000,190300,186800,178600,167900,174900,183000,189400,189700,189500,179900,174700,168600,173700,171700,174600,175500,184000,188800,191800,194100,188100,187300,180500,184400,185500,188500,191300,198500,213400,223900,230900,227900,232400,229700,227200,223600,231000,232800,233600,232000,240100,239500,242500,246400,250900,250200,246700,248100,249500,250600,253700,251300,247400,238300,230800,226700,221700,211600,209900,207800,215200,211300,212900,214100,215800,219300,219100,221300,223700,230400,240000,245100,242400,237200,230200,225200,220100,217200,219800,217300,220500,221100,227100,229800,239200,247800,250900,244600,242200,248800,254600,256600,253300,255800,237300,244800,263900,291300,293200,276200,271800,267000,265400,265600,264600,264500,270500,282200,303400
6915,San Antonio,Texas,5,130800,131200,131200,131600,131700,132400,131600,131800,130100,127800,127100,126700,129600,131400,133900,134500,135300,135100,135700,134500,133500,131200,130100,130400,129800,129800,128700,128500,128500,130600,132500,134800,136100,136300,135900,131600,130600,128900,130900,130700,130700,130600,131900,133000,132400,132300,130200,130700,130800,133500,136200,137700,138500,137300,137600,137800,138400,138300,136100,137500,139700,143100,144700,146400,148100,149700,148300,148800,148700,149000,150000,150700,152400,153500,154400,154600,154700,154000,155200,155600,157200,158400,160200,161600,162600,163400,163900,165200,165400,166800,168000,168500,166900,166400,167500,167500,169200,169300,171100,170400,172300,173400,174400,174400,174900,175000,174400,175800,175100,175400,174900,177600,176200,177300,177300,181200,181900,184700,185600,185700,185200,185800,187300,186800,186200,186300,187800,192400,194200,194500,190600,189900,191300,193400,196000,197200,198800,200600,201300,204200,204400,206200,206000,208700
13271,Philadelphia,Pennsylvania,6,111700,111600,111100,109400,108400,112000,114900,115400,113400,109300,108100,102600,101700,107700,111000,113700,109300,115900,120600,123300,125900,124500,122100,114000,114400,117000,119900,118600,114900,108100,106100,101200,106400,102200,106700,105600,109400,108100,106700,107000,104800,106700,106200,107000,103600,103800,104300,102400,100800,102700,107200,106300,105900,108500,107300,104100,102800,108200,109900,108200,102900,105500,104900,109000,109200,111500,111200,112900,113900,116800,118000,118600,123200,121900,121800,117500,117400,119000,118100,119000,115200,115700,114300,110800,113500,115600,120200,119300,119700,120300,122800,124300,124300,119200,124700,123000,123900,116700,120500,122200,124700,124600,127100,123700,125200,126200,131200,135300,137500,138900,139100,141500,142900,144500,143600,142800,145900,144500,148600,141200,141300,136300,140700,140600,142200,140600,142000,141900,146800,149600,152800,154600,154900,157100,157500,161400,163400,162700,160500,161600,170800,175200,182300,190300
40326,Phoenix,Arizona,7,221000,211100,202200,192900,182400,173100,165600,154600,140800,123600,107900,93500,82500,75600,73800,81400,88100,95600,96000,97900,103700,103600,104200,99900,100900,99900,100500,101400,99900,96400,93600,92000,88100,83500,84200,82800,82400,78200,77700,78900,80300,82800,85000,86700,89500,91800,89400,85600,82500,85400,93600,97200,101700,103900,107100,111500,116000,119000,122500,121100,122100,122500,127100,132700,136200,137400,137800,138300,136700,136200,136200,137800,138600,139200,138400,138000,138400,140300,142900,143200,142900,144900,144600,147600,150000,155400,159200,161500,161900,161700,161300,164400,166800,169200,169000,169600,170700,172900,174400,175900,176400,178900,181900,184300,187700,188000,189600,189400,189900,189000,189300,190900,193000,195200,196700,198800,201400,205200,210200,213400,213800,215900,215400,216400,218300,218800,220200,219400,222100,221100,223200,223300,226600,226600,228600,231000,231200,232700,236200,240100,244100,245700,250400,254300
18959,Las Vegas,Nevada,8,244600,239800,234800,227300,218200,207000,195100,185100,174900,167500,158200,149500,140900,131600,124400,119300,118500,117600,117300,118400,119800,122500,123200,123400,123100,124400,126400,125900,123600,122300,120500,119000,117400,116700,115700,113900,111200,110000,108700,107400,105300,102800,102500,103400,104600,105600,105600,106300,108000,110100,112300,113900,115300,116800,119200,122400,127000,131400,134600,137200,138900,141700,144600,150300,154700,157700,158100,160800,163200,165600,166500,167400,169100,170000,169900,162200,162500,166800,174800,176300,175900,179000,178500,179000,179100,182700,183900,181000,183700,184700,190700,188800,191400,191600,195700,197600,197500,195900,195000,195500,195400,195000,196000,198100,199800,201500,204500,207100,212600,214400,217100,219300,222400,225100,228400,231000,234000,237000,240000,243500,245300,248100,252000,255400,256700,257800,259700,263600,264300,264900,266500,267500,269200,266300,266700,265900,268200,268600,270400,272100,274300,277600,278800,282200
54296,San Diego,California,9,417800,405300,394700,380800,370800,356500,347800,334500,322600,313500,300100,303900,296000,294100,290100,306100,321100,330600,338200,344200,343200,345900,337900,342200,340700,346700,344500,342000,344100,345500,347400,350100,356900,357200,344700,336100,331100,339100,339500,335000,331400,324800,323300,323000,324100,328300,324200,325100,330200,337900,347400,350100,359900,362400,363700,367100,376500,387800,392900,395900,400800,408800,421100,425700,428500,425900,432400,433500,434400,435400,436800,439400,438900,440200,442800,444100,447800,453200,459000,466500,466200,465400,463900,474000,481300,481700,475800,475700,479600,480300,472300,469100,473800,489200,499600,500500,490700,493300,495500,501700,500600,502900,506100,516200,521700,523900,526800,537100,542600,536200,528700,533800,540500,545300,544100,549600,562400,573400,576000,574300,579400,585000,590700,593500,592000,592300,593500,592300,588300,584500,589700,597300,598400,599800,594300,595900,595300,599700,599100,605300,612200,618500,617300,
38128,Dallas,Texas,10,148000,142200,150900,157300,164300,163600,157900,148100,142800,130100,122700,121100,127900,133500,142000,153400,162000,164200,160100,162900,164000,160800,160600,148600,152900,156800,169500,172600,167700,170100,174900,170900,169400,169800,191800,184000,173600,151600,162600,171400,177500,179300,178100,173200,163200,167700,171100,174200,175800,185700,196800,200100,211500,220900,229500,225200,212800,211300,213500,212500,214300,217900,234400,240800,241200,243500,245300,245900,244300,240600,252400,251200,245100,235000,236500,240900,240700,239300,240200,242500,239000,242700,243600,252500,258200,255000,254600,251000,255700,258200,256800,255600,255200,255300,265600,259500,267200,261600,268900,265500,262900,265800,276800,284300,288500,279800,288700,287900,288600,279600,283500,288700,287600,288300,289500,293000,291800,293100,297600,302500,303800,300100,298600,297800,301700,297900,295100,288500,292200,297400,299100,294100,286700,287600,294200,301600,302100,301300,309900,314600,317800,308200,321300,314400
