Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Allendale County, South Carolina",Allendale County, South Carolina,2010,"$32,891.00 ",$871.00 ,"$2,740.92 ",32%
"Allendale County, South Carolina",Allendale County, South Carolina,2016,"$34,699.00 ",$833.00 ,"$2,891.58 ",29%
"Allendale County, South Carolina",Allendale County, South Carolina,2017,"$35,200.00 ",$791.00 ,"$2,933.33 ",27%
"Allendale County, South Carolina",Allendale County, South Carolina,2015,"$39,063.00 ",$792.00 ,"$3,255.25 ",24%
"Graham County, North Carolina",Graham County, North Carolina,2010,"$40,882.00 ",$931.00 ,"$3,406.83 ",27%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2010,"$41,091.00 ",$845.00 ,"$3,424.25 ",25%
"Lee County, South Carolina",Lee County, South Carolina,2011,"$41,702.00 ",$836.00 ,"$3,475.17 ",24%
"Dillon County, South Carolina",Dillon County, South Carolina,2011,"$41,890.00 ",$857.00 ,"$3,490.83 ",25%
"Lee County, South Carolina",Lee County, South Carolina,2012,"$42,039.00 ",$873.00 ,"$3,503.25 ",25%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2015,"$42,095.00 ",$975.00 ,"$3,507.92 ",28%
"Avery County, North Carolina",Avery County, North Carolina,2010,"$42,206.00 ",$914.00 ,"$3,517.17 ",26%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2011,"$42,432.00 ",$880.00 ,"$3,536.00 ",25%
"Lee County, South Carolina",Lee County, South Carolina,2010,"$42,974.00 ",$816.00 ,"$3,581.17 ",23%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2010,"$43,192.00 ",$934.00 ,"$3,599.33 ",26%
"Jasper County, South Carolina",Jasper County, South Carolina,2014,"$43,478.00 ","$1,013.00 ","$3,623.17 ",28%
"Jasper County, South Carolina",Jasper County, South Carolina,2013,"$43,485.00 ","$1,008.00 ","$3,623.75 ",28%
"Allendale County, South Carolina",Allendale County, South Carolina,2011,"$43,674.00 ",$874.00 ,"$3,639.50 ",24%
"Hyde County, North Carolina",Hyde County, North Carolina,2013,"$43,750.00 ",$878.00 ,"$3,645.83 ",24%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2013,"$43,766.00 ",$985.00 ,"$3,647.17 ",27%
"Jasper County, South Carolina",Jasper County, South Carolina,2015,"$43,775.00 ","$1,035.00 ","$3,647.92 ",28%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2013,"$43,811.00 ",$826.00 ,"$3,650.92 ",23%
"Lee County, South Carolina",Lee County, South Carolina,2013,"$43,856.00 ",$891.00 ,"$3,654.67 ",24%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2010,"$43,942.00 ",$819.00 ,"$3,661.83 ",22%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2016,"$43,977.00 ",$893.00 ,"$3,664.75 ",24%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2015,"$44,186.00 ",$920.00 ,"$3,682.17 ",25%
"Jasper County, South Carolina",Jasper County, South Carolina,2012,"$44,368.00 ","$1,003.00 ","$3,697.33 ",27%
"Graham County, North Carolina",Graham County, North Carolina,2011,"$44,444.00 ",$977.00 ,"$3,703.67 ",26%
"Clay County, North Carolina",Clay County, North Carolina,2010,"$44,619.00 ","$1,149.00 ","$3,718.25 ",31%
"Lee County, South Carolina",Lee County, South Carolina,2014,"$44,626.00 ",$895.00 ,"$3,718.83 ",24%
"Marion County, South Carolina",Marion County, South Carolina,2016,"$44,906.00 ",$894.00 ,"$3,742.17 ",24%
"Graham County, North Carolina",Graham County, North Carolina,2015,"$44,980.00 ",$787.00 ,"$3,748.33 ",21%
"Jasper County, South Carolina",Jasper County, South Carolina,2011,"$45,045.00 ",$952.00 ,"$3,753.75 ",25%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2013,"$45,085.00 ",$934.00 ,"$3,757.08 ",25%
"Lee County, South Carolina",Lee County, South Carolina,2015,"$45,088.00 ",$856.00 ,"$3,757.33 ",23%
"Graham County, North Carolina",Graham County, North Carolina,2013,"$45,156.00 ",$891.00 ,"$3,763.00 ",24%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2012,"$45,183.00 ",$904.00 ,"$3,765.25 ",24%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2014,"$45,189.00 ",$964.00 ,"$3,765.75 ",26%
"Bertie County, North Carolina",Bertie County, North Carolina,2010,"$45,299.00 ",$855.00 ,"$3,774.92 ",23%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2012,"$45,321.00 ",$973.00 ,"$3,776.75 ",26%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2010,"$45,391.00 ",$799.00 ,"$3,782.58 ",21%
"Anson County, North Carolina",Anson County, North Carolina,2010,"$45,401.00 ",$900.00 ,"$3,783.42 ",24%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2018,"$45,536.00 ",$938.00 ,"$3,794.67 ",25%
"Graham County, North Carolina",Graham County, North Carolina,2014,"$45,556.00 ",$807.00 ,"$3,796.33 ",21%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2010,"$45,640.00 ",$880.00 ,"$3,803.33 ",23%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2015,"$45,724.00 ",$936.00 ,"$3,810.33 ",25%
"Bertie County, North Carolina",Bertie County, North Carolina,2014,"$45,729.00 ","$1,020.00 ","$3,810.75 ",27%
"Yancey County, North Carolina",Yancey County, North Carolina,2010,"$45,758.00 ",$937.00 ,"$3,813.17 ",25%
"Dillon County, South Carolina",Dillon County, South Carolina,2010,"$45,847.00 ",$878.00 ,"$3,820.58 ",23%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2016,"$45,949.00 ",$901.00 ,"$3,829.08 ",24%
"Avery County, North Carolina",Avery County, North Carolina,2012,"$46,042.00 ",$989.00 ,"$3,836.83 ",26%
"Anson County, North Carolina",Anson County, North Carolina,2011,"$46,085.00 ",$900.00 ,"$3,840.42 ",23%
"Jasper County, South Carolina",Jasper County, South Carolina,2016,"$46,210.00 ","$1,051.00 ","$3,850.83 ",27%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2011,"$46,223.00 ","$1,045.00 ","$3,851.92 ",27%
"Northampton County, North Carolina",Northampton County, North Carolina,2010,"$46,540.00 ",$854.00 ,"$3,878.33 ",22%
"Jasper County, South Carolina",Jasper County, South Carolina,2010,"$46,571.00 ","$1,002.00 ","$3,880.92 ",26%
"Anson County, North Carolina",Anson County, North Carolina,2012,"$46,721.00 ",$910.00 ,"$3,893.42 ",23%
"Scotland County, North Carolina",Scotland County, North Carolina,2013,"$46,746.00 ",$985.00 ,"$3,895.50 ",25%
"Warren County, North Carolina",Warren County, North Carolina,2010,"$46,770.00 ","$1,038.00 ","$3,897.50 ",27%
"Robeson County, North Carolina",Robeson County, North Carolina,2010,"$46,783.00 ",$928.00 ,"$3,898.58 ",24%
