Average of Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),,Year,,,,,,,,
County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abbeville County, South Carolina,932,973,1010,1008,1025,985,1027,1003,989
Aiken County, South Carolina,1055,1084,1106,1110,1125,1109,1112,1118,1143
Alamance County, North Carolina,1176,1209,1198,1213,1192,1172,1162,1158,1170
Alexander County, North Carolina,994,990,987,986,966,935,946,991,1017
Alleghany County, North Carolina,934,1045,1105,1098,1133,1039,1083,1011,997
Allendale County, South Carolina,871,874,844,920,936,792,833,791,830
Anderson County, South Carolina,1014,1069,1070,1096,1112,1095,1091,1098,1108
Anson County, North Carolina,900,900,910,880,903,920,924,964,987
Ashe County, North Carolina,995,1017,1061,1045,1053,995,1033,1070,1067
Avery County, North Carolina,914,1026,989,997,1044,1023,1066,1026,1068
Bamberg County, South Carolina,867,848,946,923,897,871,912,965,973
Barnwell County, South Carolina,872,928,939,948,949,938,986,1083,1133
Beaufort County, North Carolina,1145,1165,1171,1202,1196,1168,1190,1219,1221
, South Carolina,1677,1745,1743,1730,1695,1654,1609,1613,1645
Berkeley County, South Carolina,1254,1286,1297,1292,1294,1252,1261,1270,1326
Bertie County, North Carolina,855,930,962,959,1020,1067,1040,1045,1083
Bladen County, North Carolina,911,962,981,985,996,983,983,1012,1024
Brunswick County, North Carolina,1259,1300,1319,1314,1314,1305,1321,1338,1370
Buncombe County, North Carolina,1251,1281,1293,1306,1287,1259,1264,1291,1330
Burke County, North Carolina,974,990,997,1001,1007,976,980,1005,1021
Cabarrus County, North Carolina,1321,1367,1372,1372,1359,1327,1339,1358,1380
Caldwell County, North Carolina,959,981,981,955,952,939,931,946,979
Calhoun County, South Carolina,996,1060,1023,1006,1003,1042,1042,1151,1235
Camden County, North Carolina,1552,1606,1688,1701,1720,1663,1676,1701,1633
Carteret County, North Carolina,1293,1314,1337,1313,1302,1305,1326,1368,1404
Caswell County, North Carolina,1001,960,983,974,996,999,1024,1028,1064
Catawba County, North Carolina,1056,1067,1098,1096,1102,1069,1058,1066,1076
Charleston County, South Carolina,1572,1660,1688,1682,1683,1630,1609,1646,1701
Chatham County, North Carolina,1328,1452,1467,1458,1487,1492,1492,1518,1600
Cherokee County, North Carolina,967,1018,973,985,964,936,901,957,1015
, South Carolina,925,932,929,918,935,923,942,949,953
Chester County, South Carolina,909,906,922,925,934,899,939,945,963
Chesterfield County, South Carolina,847,881,889,903,900,890,905,925,894
Chowan County, North Carolina,1194,1238,1260,1297,1312,1231,1239,1189,1189
Clarendon County, South Carolina,819,894,916,950,955,958,977,1010,991
Clay County, North Carolina,1149,1145,1050,973,967,981,1012,1082,1144
Cleveland County, North Carolina,1026,1061,1070,1055,1023,1003,994,1003,1062
Colleton County, South Carolina,936,973,1034,1037,1054,1061,1073,1097,1127
Columbus County, North Carolina,1043,1059,1071,1037,1026,1034,1054,1032,1055
Craven County, North Carolina,1272,1301,1287,1284,1288,1272,1245,1262,1295
Cumberland County, North Carolina,1192,1230,1219,1215,1212,1189,1175,1198,1213
