ID Geography,Geography,Property Value (2013),Property Value (2014),Property Value (2015),Property Value (2016),Property Value (2017),Property Value (2018),Property Value Moe (2013),Property Value Moe (2014),Property Value Moe (2015),Property Value Moe (2016),Property Value Moe (2017),Property Value Moe (2018)
"05000US72139","Trujillo Alto Municipio, PR",160000,156700,148700,148100,144400,124400,6081,5335,7049.999999999999,9151,9888,12229
"05000US39133","Portage County, OH",142100,149000,165700,150700,156200,166200,6574,6822.999999999999,5553,6469,7625.000000000001,6528
"05000US39119","Muskingum County, OH",96800,111200,116300,125400,112400,120000,8690,8456,7695.000000000001,9218,6042,7575.999999999999
"05000US01003","Baldwin County, AL",167500,180100,177800,189100,199800,193800,6333,10176,9143,7936.999999999999,11318,7437
"05000US39139","Richland County, OH",101400,100400,102600,104100,107900,114600,4679,5600,7230,4713,6216,6789
"05000US39113","Montgomery County, OH",107200,106300,111900,113700,118000,125900,3638,3158,2721,3321,3132,4164
"05000US39109","Miami County, OH",128200,135200,145400,149100,146700,160600,9071,10953,11336,7711,8440,7588.000000000001
"05000US39141","Ross County, OH",106000,106400,117200,118300,122900,142100,8301,10795,8215,7914.999999999999,10190,11443
"05000US01015","Calhoun County, AL",92900,106500,111400,115600,117700,121800,9443,5581,6618,10523,5764,8839
"05000US72137","Toa Baja Municipio, PR",139600,134200,135400,127700,116500,122400,4516,3838.9999999999995,4720,5574,5896,5399
"05000US39103","Medina County, OH",183200,174800,185300,185000,199200,208800,5913,5720,5624,5310,7014.999999999999,7514
"05000US39101","Marion County, OH",96400,95100,91800,88200,98200,110700,11882,13820.000000000001,9303,5068,12131,6407
"05000US01043","Cullman County, AL",117400,109100,128600,133100,123700,127700,14834,16469,11989,15400.000000000001,12152,13062
"05000US39145","Scioto County, OH",90600,93600,89500,100300,101100,99700,7183,5779,9465,11820,13554,12127
"05000US39099","Mahoning County, OH",94600,98000,99600,100700,106200,114700,2997,3725,3982.0000000000004,4656,4254,5111
"05000US39095","Lucas County, OH",99700,107200,106100,115100,116300,117900,3906.0000000000004,4112,3654,4299,3656,3887
"05000US39151","Stark County, OH",121400,124400,126400,129800,132200,137100,3517,3102,3387,3715,3186,3039
"05000US01049","DeKalb County, AL",106800,90500,101000,101600,114500,112000,12366,10225,9249,12178,21598,11395
"05000US72135","Toa Alta Municipio, PR",155800,145500,133800,139100,137700,130900,7796,6517,9040,7907.000000000001,8880,5703
"05000US39093","Lorain County, OH",134000,136800,143800,146400,143600,156900,5029,4351,4715,5601,4778,5021
"05000US39089","Licking County, OH",146100,158600,157400,163400,169400,188900,5849,4176,4466,5576,5767,8481
"05000US01051","Elmore County, AL",142000,150300,159800,171000,158500,166300,13510,9009,7667.999999999999,16594,10012,10622
"05000US39153","Summit County, OH",134700,129300,139200,141900,143500,151900,4200,4130,4089,3628,4635,3825.0000000000004
"05000US39085","Lake County, OH",149200,145200,150900,150900,157700,160600,5607,4862,4307,4013,4863,4368
"05000US39081","Jefferson County, OH",84000,85700,88300,87400,97300,89500,4491,5444,6236,4022.0000000000004,5862,5040
"05000US39155","Trumbull County, OH",96700,98500,99800,106400,105700,105400,6289,3603,4136,4293,5699,6045
