ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US16001,Ada County, ID,52542,57716,57399,61301,60858,66405,2576,2289,3548,2253,2286,2660
05000US08001,Adams County, CO,54878,59659,63493,66033,66517,70743,2563,2189,2145,2488,3293,2761
05000US17001,Adams County, IL,41327,45606,46528,51624,48679,56699,3704,2118,3451,3570,2270,6791
05000US42001,Adams County, PA,59029,61543,61023,59300,63107,62284,3276,3279,2894,4465,3396,4307
05000US45003,Aiken County, SC,42259,48882,47219,45945,50749,51932,3480,2528,3967,3347,4117,3306
05000US12001,Alachua County, FL,38454,45228,47895,45304,44676,51241,2549,3823,2900,3195,2593,1859
05000US37001,Alamance County, NC,42512,39576,39541,45100,45150,49979,2279,2701,2483,2609,4637,2410
05000US06001,Alameda County, CA,72399,77214,81717,89979,96296,102125,1724,1363,1387,1905,2453,1678
05000US36001,Albany County, NY,55778,60655,57042,61754,66204,64435,2267,2074,2650,2996,3583,4607
05000US51003,Albemarle County, VA,70312,64722,70589,71975,77181,78584,3366,5683,5007,6336,6277,9204
05000US51510,Alexandria city, VA,86775,86809,90056,87920,100530,101215,6064,5554,4336,4411,2853,6379
05000US26005,Allegan County, MI,56077,53796,55250,57846,62853,61353,3157,4285,2598,4103,4369,4986
05000US24001,Allegany County, MD,40165,39653,38281,45606,42019,42068,3867,2797,4078,3344,2605,4611
05000US42003,Allegheny County, PA,51424,52400,54467,56140,58625,59899,735,943,1565,1150,1400,1518
05000US18003,Allen County, IN,45006,48521,49754,51173,52484,54260,2091,1631,1991,1460,1531,1554
05000US39003,Allen County, OH,43030,42701,50332,47592,51542,49063,3327,3862,3322,4051,2912,4501
05000US02020,Anchorage Municipality, AK,79045,76337,78662,85634,79166,83648,4404,3965,3684,4164,4990,5039
05000US45007,Anderson County, SC,41135,42837,43558,45090,48593,51699,2067,2195,3928,2758,2388,3046
05000US47001,Anderson County, TN,40907,47821,42744,46055,48109,50616,3019,5538,3992,5106,5663,3864
05000US23001,Androscoggin County, ME,44127,48007,50338,49081,48286,49697,3784,3884,3380,3530,3350,4884
05000US48005,Angelina County, TX,42750,42156,49768,41161,45326,47519,5249,3581,8084,7072,5733,5773
05000US24003,Anne Arundel County, MD,86230,87217,91230,96483,97085,97814,2655,2986,2067,3531,3840,3563
05000US27003,Anoka County, MN,70800,70915,73382,76533,79169,82492,2110,2072,3020,2408,2396,2757
05000US04001,Apache County, AZ,29180,33076,29417,34685,31671,30207,2521,3818,2892,3764,3206,4317
05000US08005,Arapahoe County, CO,60956,65327,67002,70950,75357,76768,1387,1919,1550,1990,1972,1960
05000US72013,Arecibo Municipio, PR,16151,16325,16033,18516,17740,18360,1562,1445,1379,3164,2290,1921
05000US51013,Arlington County, VA,102501,109266,106768,110388,117237,122394,3666,4862,6543,5159,6537,4383
05000US42005,Armstrong County, PA,43191,44946,44477,47398,45949,49950,3230,4049,3980,3699,4339,4831
05000US23003,Aroostook County, ME,36825,35439,36596,39450,43015,38233,2313,2070,1734,3015,3358,2514
05000US22005,Ascension Parish, LA,75308,66576,76632,76581,70561,79495,8085,5876,6799,7119,5700,6924
05000US39007,Ashtabula County, OH,40839,39079,44511,42965,44173,46349,2047,2530,2492,3297,4775,4931
05000US39009,Athens County, OH,,,36511,36193,44247,36944,,,6000,4196,6280,5460
05000US34001,Atlantic County, NJ,52127,55313,54052,56778,61777,61212,2250,3112,3806,4087,4761,1916
05000US51015,Augusta County, VA,55284,58322,56766,55342,57017,59820,3534,2675,5655,5129,5341,4497
05000US01003,Baldwin County, AL,44874,48461,52003,56732,55342,56813,4150,3434,2709,3829,5225,3367
05000US24510,Baltimore city, MD,42266,42665,44165,47350,47131,51000,1216,2198,2247,1793,1583,1530
05000US24005,Baltimore County, MD,64795,68257,68775,72764,73805,76182,2089,2555,2630,2308,2827,2205
