ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US16001,"Ada County, ID",52542,57716,57399,61301,60858,66405,2576,2289,3548,2253,2286,2660,416464,426236,434211,444028,456849,469966,,
05000US08001,"Adams County, CO",54878,59659,63493,66033,66517,70743,2563,2189,2145,2488,3293,2761,469193,480718,491337,498187,503167,511868,,
05000US17001,"Adams County, IL",41327,45606,46528,51624,48679,56699,3704,2118,3451,3570,2270,6791,67130,66988,67013,66578,66234,65691,,
05000US42001,"Adams County, PA",59029,61543,61023,59300,63107,62284,3276,3279,2894,4465,3396,4307,101546,101714,102295,102180,102336,102811,,
05000US45003,"Aiken County, SC",42259,48882,47219,45945,50749,51932,3480,2528,3967,3347,4117,3306,164176,164753,165829,167458,168179,169401,,
05000US12001,"Alachua County, FL",38454,45228,47895,45304,44676,51241,2549,3823,2900,3195,2593,1859,253451,256380,259964,263496,266944,269956,,
05000US37001,"Alamance County, NC",42512,39576,39541,45100,45150,49979,2279,2701,2483,2609,4637,2410,154378,155792,158276,159688,162391,166436,,
05000US06001,"Alameda County, CA",72399,77214,81717,89979,96296,102125,1724,1363,1387,1905,2453,1678,1578891,1610921,1638215,1647704,1663190,1666753,,
05000US36001,"Albany County, NY",55778,60655,57042,61754,66204,64435,2267,2074,2650,2996,3583,4607,306945,308171,309381,308846,309612,307117,,
05000US51003,"Albemarle County, VA",70312,64722,70589,71975,77181,78584,3366,5683,5007,6336,6277,9204,103000,104489,105703,106878,107702,108718,,
05000US51510,"Alexandria city, VA",86775,86809,90056,87920,100530,101215,6064,5554,4336,4411,2853,6379,148892,150575,153511,155810,160035,160530,,
05000US26005,"Allegan County, MI",56077,53796,55250,57846,62853,61353,3157,4285,2598,4103,4369,4986,112531,113847,114625,115548,116447,117327,,
05000US24001,"Allegany County, MD",40165,39653,38281,45606,42019,42068,3867,2797,4078,3344,2605,4611,73521,72952,72528,72130,71615,70975,,
05000US42003,"Allegheny County, PA",51424,52400,54467,56140,58625,59899,735,943,1565,1150,1400,1518,1231527,1231255,1230459,1225365,1223048,1218452,,
05000US18003,"Allen County, IN",45006,48521,49754,51173,52484,54260,2091,1631,1991,1460,1531,1554,363014,365918,368450,370404,372877,375351,,
05000US39003,"Allen County, OH",43030,42701,50332,47592,51542,49063,3327,3862,3322,4051,2912,4501,105298,105040,104425,103742,103198,102663,,
05000US02020,"Anchorage Municipality, AK",79045,76337,78662,85634,79166,83648,4404,3965,3684,4164,4990,5039,300950,301010,298695,298192,294356,291538,,
05000US45007,"Anderson County, SC",41135,42837,43558,45090,48593,51699,2067,2195,3928,2758,2388,3046,190641,192810,194692,196569,198759,200482,,
05000US47001,"Anderson County, TN",40907,47821,42744,46055,48109,50616,3019,5538,3992,5106,5663,3864,75542,75528,75749,75936,76257,76482,,
05000US23001,"Androscoggin County, ME",44127,48007,50338,49081,48286,49697,3784,3884,3380,3530,3350,4884,107604,107440,107233,107319,107651,107679,,
05000US48005,"Angelina County, TX",42750,42156,49768,41161,45326,47519,5249,3581,8084,7072,5733,5773,87441,87750,88255,87791,87805,87092,,
05000US24003,"Anne Arundel County, MD",86230,87217,91230,96483,97085,97814,2655,2986,2067,3531,3840,3563,555743,560133,564195,568346,573235,576031,,
05000US27003,"Anoka County, MN",70800,70915,73382,76533,79169,82492,2110,2072,3020,2408,2396,2757,339534,341864,344151,345957,351373,353813,,
05000US04001,"Apache County, AZ",29180,33076,29417,34685,31671,30207,2521,3818,2892,3764,3206,4317,71934,71828,71474,73112,71606,71818,,
05000US08005,"Arapahoe County, CO",60956,65327,67002,70950,75357,76768,1387,1919,1550,1990,1972,1960,607070,618821,631096,637068,643052,651215,,
05000US72013,"Arecibo Municipio, PR",16151,16325,16033,18516,17740,18360,1562,1445,1379,3164,2290,1921,93396,91540,89648,87939,86066,82114,,
05000US51013,"Arlington County, VA",102501,109266,106768,110388,117237,122394,3666,4862,6543,5159,6537,4383,224906,226908,229164,230050,234965,237521,,
05000US42005,"Armstrong County, PA",43191,44946,44477,47398,45949,49950,3230,4049,3980,3699,4339,4831,68107,67785,67052,66486,65642,65263,,
05000US23003,"Aroostook County, ME",36825,35439,36596,39450,43015,38233,2313,2070,1734,3015,3358,2514,70055,69447,68628,67959,67653,67111,,
05000US22005,"Ascension Parish, LA",75308,66576,76632,76581,70561,79495,8085,5876,6799,7119,5700,6924,114393,117029,119455,121587,122948,124672,,
05000US39007,"Ashtabula County, OH",40839,39079,44511,42965,44173,46349,2047,2530,2492,3297,4775,4931,99811,99175,98632,98231,97807,97493,,
05000US39009,"Athens County, OH",,,36511,36193,44247,36944,,,6000,4196,6280,5460,,,65886,66186,66597,65818,,
05000US34001,"Atlantic County, NJ",52127,55313,54052,56778,61777,61212,2250,3112,3806,4087,4761,1916,275862,275209,274219,270991,269918,265429,,
