ID Geography,County,State,2013,2014,2015,2016,2017,2018
05000US16001,Ada County, ID,52542,57716,57399,61301,60858,66405
05000US08001,Adams County, CO,54878,59659,63493,66033,66517,70743
05000US17001,Adams County, IL,41327,45606,46528,51624,48679,56699
05000US42001,Adams County, PA,59029,61543,61023,59300,63107,62284
05000US45003,Aiken County, SC,42259,48882,47219,45945,50749,51932
05000US12001,Alachua County, FL,38454,45228,47895,45304,44676,51241
05000US37001,Alamance County, NC,42512,39576,39541,45100,45150,49979
05000US06001,Alameda County, CA,72399,77214,81717,89979,96296,102125
05000US36001,Albany County, NY,55778,60655,57042,61754,66204,64435
05000US51003,Albemarle County, VA,70312,64722,70589,71975,77181,78584
05000US51510,Alexandria city, VA,86775,86809,90056,87920,100530,101215
05000US26005,Allegan County, MI,56077,53796,55250,57846,62853,61353
05000US24001,Allegany County, MD,40165,39653,38281,45606,42019,42068
05000US42003,Allegheny County, PA,51424,52400,54467,56140,58625,59899
05000US18003,Allen County, IN,45006,48521,49754,51173,52484,54260
05000US39003,Allen County, OH,43030,42701,50332,47592,51542,49063
05000US02020,Anchorage Municipality, AK,79045,76337,78662,85634,79166,83648
05000US45007,Anderson County, SC,41135,42837,43558,45090,48593,51699
05000US47001,Anderson County, TN,40907,47821,42744,46055,48109,50616
05000US23001,Androscoggin County, ME,44127,48007,50338,49081,48286,49697
05000US48005,Angelina County, TX,42750,42156,49768,41161,45326,47519
05000US24003,Anne Arundel County, MD,86230,87217,91230,96483,97085,97814
05000US27003,Anoka County, MN,70800,70915,73382,76533,79169,82492
05000US04001,Apache County, AZ,29180,33076,29417,34685,31671,30207
05000US08005,Arapahoe County, CO,60956,65327,67002,70950,75357,76768
05000US72013,Arecibo Municipio, PR,16151,16325,16033,18516,17740,18360
05000US51013,Arlington County, VA,102501,109266,106768,110388,117237,122394
05000US42005,Armstrong County, PA,43191,44946,44477,47398,45949,49950
05000US23003,Aroostook County, ME,36825,35439,36596,39450,43015,38233
05000US22005,Ascension Parish, LA,75308,66576,76632,76581,70561,79495
05000US39007,Ashtabula County, OH,40839,39079,44511,42965,44173,46349
05000US39009,Athens County, OH,,,36511,36193,44247,36944
05000US34001,Atlantic County, NJ,52127,55313,54052,56778,61777,61212
05000US51015,Augusta County, VA,55284,58322,56766,55342,57017,59820
05000US01003,Baldwin County, AL,44874,48461,52003,56732,55342,56813
05000US24510,Baltimore city, MD,42266,42665,44165,47350,47131,51000
05000US24005,Baltimore County, MD,64795,68257,68775,72764,73805,76182
05000US16005,Bannock County, ID,42174,44018,41530,48429,51612,50748
05000US25001,Barnstable County, MA,61026,65384,66102,67898,71235,68902
05000US13013,Barrow County, GA,56051,47834,53156,54256,59994,61225
05000US18005,Bartholomew County, IN,52505,53002,54447,59102,61533,62047
05000US13015,Bartow County, GA,45191,53675,50572,51405,54218,57380
05000US48021,Bastrop County, TX,48652,53631,63129,56508,72107,69067
05000US12005,Bay County, FL,45594,44775,48259,49157,52415,52107
05000US26017,Bay County, MI,41281,46844,46560,44756,44770,50606
05000US72021,Bayamón Municipio, PR,23741,25271,24810,24128,25815,24873
05000US45013,Beaufort County, SC,57122,54996,60257,65919,58847,65607
05000US42007,Beaver County, PA,49937,51222,50128,55221,54923,54660
05000US51019,Bedford County, VA,57000,56996,54062,56479,66327,64084
05000US48027,Bell County, TX,50656,51221,48908,52275,52479,54495
05000US39013,Belmont County, OH,38224,42079,46113,48220,54253,50250
05000US05007,Benton County, AR,56570,56981,58770,63631,63746,67164
05000US41003,Benton County, OR,47808,52486,52852,55459,60260,63773
05000US53005,Benton County, WA,58997,58093,62484,62508,63346,68115
05000US34003,Bergen County, NJ,81670,84677,89023,93683,94107,100361
05000US45015,Berkeley County, SC,50475,52427,56548,59153,57147,62994
05000US54003,Berkeley County, WV,55134,58754,53548,57357,59142,59328
05000US42011,Berks County, PA,56043,56059,56122,59286,61058,62564
05000US25003,Berkshire County, MA,52514,50211,50765,58418,57054,60476
05000US35001,Bernalillo County, NM,48257,47134,47747,50601,51005,51208
05000US26021,Berrien County, MI,44747,44031,46649,47083,48629,51262
05000US48029,Bexar County, TX,49769,50760,52286,53210,54175,54149
05000US13021,Bibb County, GA,36327,35397,38605,36724,37444,40495
05000US19013,Black Hawk County, IA,45666,51685,50169,50470,49779,51920
05000US42013,Blair County, PA,42164,44019,45432,43443,45957,49942
05000US47009,Blount County, TN,44351,46819,49134,51183,50675,58809
05000US27013,Blue Earth County, MN,51858,48850,48350,53869,56716,58616
05000US16019,Bonneville County, ID,49884,49626,53355,59706,53478,58729
05000US18011,Boone County, IN,,,,,81785,81145
05000US21015,Boone County, KY,64414,65736,67047,72374,78415,77429
05000US29019,Boone County, MO,48953,50085,50520,52752,51340,54356
05000US22015,Bossier Parish, LA,51796,50704,56140,48163,49038,55922
05000US08013,Boulder County, CO,71604,71540,72009,74615,80834,83755
05000US48037,Bowie County, TX,41142,40493,40662,45997,50573,47134
05000US47011,Bradley County, TN,42722,42563,42922,44853,48857,50560
05000US48039,Brazoria County, TX,66250,74799,71251,74799,82229,73623
05000US48041,Brazos County, TX,37913,40973,44270,41559,45155,50110
05000US12009,Brevard County, FL,46472,47907,50416,51184,52540,57888
05000US25005,Bristol County, MA,53501,58057,60183,66027,67842,66205
05000US36005,Bronx County, NY,33009,33712,35176,37525,37397,38467
05000US36007,Broome County, NY,45560,46776,46152,50463,47758,51125
05000US08014,Broomfield County, CO,,,84921,84349,90939,95800
05000US12011,Broward County, FL,50446,51608,53926,54212,56842,57278
05000US55009,Brown County, WI,51160,53392,54802,57783,60793,61651
05000US37019,Brunswick County, NC,47334,46721,46640,50692,56181,60496
05000US29021,Buchanan County, MO,43895,46764,49302,48550,46052,55020
05000US42017,Bucks County, PA,73594,77917,80575,79936,84749,88569
05000US21029,Bullitt County, KY,60264,54690,53434,65359,62319,58119
05000US13031,Bulloch County, GA,36153,32841,33477,43982,42138,44179
05000US37021,Buncombe County, NC,46431,47671,44619,50685,50040,53980
05000US37023,Burke County, NC,33379,37086,42970,40345,40274,43663
05000US38015,Burleigh County, ND,64388,68339,65079,64558,69193,71172
05000US34005,Burlington County, NJ,77398,80896,74800,80254,87673,84889
05000US20015,Butler County, KS,55647,58791,60714,60182,64149,64898
05000US39017,Butler County, OH,55958,58730,58785,63273,64023,60589
05000US42019,Butler County, PA,58233,60782,68848,66426,68934,66423
05000US06007,Butte County, CA,42752,42365,45644,45177,49061,51652
05000US37025,Cabarrus County, NC,54307,54347,56853,63386,61490,69679
05000US54011,Cabell County, WV,39019,34046,38839,38823,33750,38162
05000US49005,Cache County, UT,48587,51556,50518,58003,52828,59248
05000US22017,Caddo Parish, LA,39683,39315,41040,37104,36165,39077
05000US72025,Caguas Municipio, PR,23583,24145,22686,24198,22377,27714
05000US22019,Calcasieu Parish, LA,42625,45742,45767,45962,52319,49113
05000US37027,Caldwell County, NC,32386,37876,38708,36301,45033,42257
05000US01015,Calhoun County, AL,36205,41428,42346,41687,46763,45818
05000US26025,Calhoun County, MI,44520,46088,43084,45902,45386,47204
05000US24009,Calvert County, MD,94196,95110,106247,98732,100590,107884
05000US42021,Cambria County, PA,41423,43224,44179,44100,46598,45084
05000US34007,Camden County, NJ,58006,62330,65025,66362,66196,67523
05000US48061,Cameron County, TX,34374,32093,34074,37061,36975,38378
05000US21037,Campbell County, KY,53323,50872,51208,62536,61379,59524
05000US40017,Canadian County, OK,63549,68552,62045,67177,74720,70204
05000US16027,Canyon County, ID,41941,43250,42786,48437,47324,53374
05000US29031,Cape Girardeau County, MO,42760,47438,49731,50223,51140,49844
05000US34009,Cape May County, NJ,60560,56899,57116,62548,66953,67007
05000US42025,Carbon County, PA,44017,50023,57387,51676,49647,53227
05000US72031,Carolina Municipio, PR,25988,28792,27039,28055,30822,25189
05000US13045,Carroll County, GA,45682,40744,43410,51228,50100,51545
05000US24013,Carroll County, MD,82955,85274,84887,90343,93676,97430
05000US37031,Carteret County, NC,45231,48881,51048,51206,52807,54833
05000US27019,Carver County, MN,82333,83594,92653,92455,101271,100324
05000US30013,Cascade County, MT,43947,42170,45606,45138,47713,49948
05000US29037,Cass County, MO,64144,60849,62561,63420,64595,71114
05000US38017,Cass County, ND,52015,52604,53728,59240,64704,62418
05000US37035,Catawba County, NC,42859,44677,40450,48913,53539,53454
05000US13047,Catoosa County, GA,51608,52412,51012,55717,53231,56364
05000US36009,Cattaraugus County, NY,40362,44320,40016,46842,48484,48179
05000US36011,Cayuga County, NY,50154,53780,53146,54995,56599,52376
05000US24015,Cecil County, MD,66090,61940,70676,74221,74912,74452
05000US42027,Centre County, PA,53207,51367,56337,60266,55895,57333
05000US17019,Champaign County, IL,45682,46776,50252,50335,50281,52725
05000US24017,Charles County, MD,88797,88803,88700,95735,97986,94368
05000US45019,Charleston County, SC,51694,53308,57079,56827,60555,63459
05000US12015,Charlotte County, FL,43698,43039,45492,44200,52070,52927
05000US13051,Chatham County, GA,45263,50718,49252,53964,55352,55308
05000US37037,Chatham County, NC,56550,54229,55642,62961,57770,74959
05000US36013,Chautauqua County, NY,40413,41808,44460,42204,46079,45479
05000US35005,Chaves County, NM,45753,39696,38044,40960,44899,43941
05000US53007,Chelan County, WA,51101,50177,56890,52080,61615,57132
05000US36015,Chemung County, NY,45237,50232,53119,51269,51194,53005
05000US13057,Cherokee County, GA,64705,69711,74104,77950,76368,82069
05000US51550,Chesapeake city, VA,67252,66712,67491,72928,76629,80265
05000US33005,Cheshire County, NH,51945,56652,61780,56364,61257,59186
05000US42029,Chester County, PA,83633,85373,90503,92407,96656,99119
05000US51041,Chesterfield County, VA,66881,72878,75131,76059,80800,80655
05000US50007,Chittenden County, VT,64958,62004,67997,68843,64444,75852
05000US21047,Christian County, KY,45206,35755,39827,41140,43940,38448
05000US29043,Christian County, MO,51342,51692,53730,53172,59161,56717
05000US12017,Citrus County, FL,40015,35671,40294,39206,43548,39964
05000US41005,Clackamas County, OR,66758,65316,69629,74891,79878,81278
05000US53009,Clallam County, WA,46566,46469,44929,48587,47907,59001
05000US18019,Clark County, IN,50760,52674,51828,51401,52036,56307
05000US32003,Clark County, NV,51057,51214,51552,54384,57189,57076
05000US39023,Clark County, OH,43742,41729,47963,46811,46665,49875
05000US53011,Clark County, WA,57588,61741,64275,69062,74747,74060
05000US13059,Clarke County, GA,31551,29996,31284,34999,39825,42232
05000US12019,Clay County, FL,57757,58153,58676,56315,65247,61825
05000US29047,Clay County, MO,60541,61384,65090,65430,66938,68269
05000US13063,Clayton County, GA,40754,43287,42120,45252,45172,46646
05000US42033,Clearfield County, PA,39236,39592,44666,47352,48581,46205
05000US39025,Clermont County, OH,61702,62554,62054,60661,65632,64526
