County,State,2013,2014,2015,2016,2017,2018
Ada County, ID,416464,426236,434211,444028,456849,469966
Adams County, CO,469193,480718,491337,498187,503167,511868
Adams County, IL,67130,66988,67013,66578,66234,65691
Adams County, PA,101546,101714,102295,102180,102336,102811
Aiken County, SC,164176,164753,165829,167458,168179,169401
Alachua County, FL,253451,256380,259964,263496,266944,269956
Alamance County, NC,154378,155792,158276,159688,162391,166436
Alameda County, CA,1578891,1610921,1638215,1647704,1663190,1666753
Albany County, NY,306945,308171,309381,308846,309612,307117
Albemarle County, VA,103000,104489,105703,106878,107702,108718
Alexandria city, VA,148892,150575,153511,155810,160035,160530
Allegan County, MI,112531,113847,114625,115548,116447,117327
Allegany County, MD,73521,72952,72528,72130,71615,70975
Allegheny County, PA,1231527,1231255,1230459,1225365,1223048,1218452
Allen County, IN,363014,365918,368450,370404,372877,375351
Allen County, OH,105298,105040,104425,103742,103198,102663
Anchorage Municipality, AK,300950,301010,298695,298192,294356,291538
Anderson County, SC,190641,192810,194692,196569,198759,200482
Anderson County, TN,75542,75528,75749,75936,76257,76482
Androscoggin County, ME,107604,107440,107233,107319,107651,107679
Angelina County, TX,87441,87750,88255,87791,87805,87092
Anne Arundel County, MD,555743,560133,564195,568346,573235,576031
Anoka County, MN,339534,341864,344151,345957,351373,353813
Apache County, AZ,71934,71828,71474,73112,71606,71818
Arapahoe County, CO,607070,618821,631096,637068,643052,651215
Arecibo Municipio, PR,93396,91540,89648,87939,86066,82114
Arlington County, VA,224906,226908,229164,230050,234965,237521
Armstrong County, PA,68107,67785,67052,66486,65642,65263
Aroostook County, ME,70055,69447,68628,67959,67653,67111
Ascension Parish, LA,114393,117029,119455,121587,122948,124672
Ashtabula County, OH,99811,99175,98632,98231,97807,97493
Athens County, OH,,,65886,66186,66597,65818
Atlantic County, NJ,275862,275209,274219,270991,269918,265429
Augusta County, VA,73912,73862,74314,74997,75144,75457
Baldwin County, AL,195540,200111,203709,208563,212628,218022
Baltimore city, MD,622104,622793,621849,614664,611648,602495
Baltimore County, MD,823015,826925,831128,831026,832468,828431
Bannock County, ID,83249,83347,83744,84377,85269,87138
Barnstable County, MA,214990,214914,214333,214276,213444,213413
Barrow County, GA,71453,73240,75370,77126,79061,80809
Bartholomew County, IN,79587,80217,81162,81402,82040,82753
Bartow County, GA,101273,101736,102747,103807,105054,106408
Bastrop County, TX,75825,78069,80527,82733,84761,86976
Bay County, FL,174987,178985,181635,183974,183563,185287
Bay County, MI,106832,106179,105659,104747,104239,103923
Bayam??n Municipio, PR,198958,194210,189159,184374,179565,170480
Beaufort County, SC,171838,175852,179589,183149,186844,188715
Beaver County, PA,170115,169392,168871,167429,166140,164742
Bedford County, VA,69825,76583,77724,77960,77974,78747
Bell County, TX,326843,329140,334941,340411,347833,355642
Belmont County, OH,69571,69461,69154,68673,68029,67505
Benton County, AR,237297,242321,249672,258291,266300,272608
Benton County, OR,86591,86316,87572,89385,90951,92101
Benton County, WA,184486,186486,190309,193686,198171,201877
Bergen County, NJ,925328,933572,938506,939151,948406,936692
Berkeley County, SC,194020,198205,202786,210898,217937,221091
Berkeley County, WV,108706,110497,111901,113525,114920,117123
Berks County, PA,413521,413691,415271,414812,417854,420152
Berkshire County, MA,129585,128715,127828,126903,126313,126348
Bernalillo County, NM,674221,675551,676685,676953,676773,678701
Berrien County, MI,155252,155233,154636,154010,154259,154141
Bexar County, TX,1817610,1855866,1897753,1928680,1958578,1986049
Bibb County, GA,154721,153905,153721,152760,152862,153095
Black Hawk County, IA,132546,132897,133455,132904,132648,132408
Blair County, PA,126314,125955,125593,124650,123457,122492
Blount County, TN,125099,126339,127253,128670,129929,131349
Blue Earth County, MN,65528,65385,65787,66441,66973,67427
Bonneville County, ID,107517,108623,110089,112232,114595,116854
Boone County, IN,,,,,65875,66999
Boone County, KY,124442,126413,127712,128536,130728,131533
Boone County, MO,170773,172717,174974,176594,178271,180005
Bossier Parish, LA,123823,125064,125175,126057,127634,127185
Boulder County, CO,310048,313333,319372,322226,322514,326078
Bowie County, TX,93487,93275,93389,93860,94012,94324
Bradley County, TN,101848,102975,104091,104490,105560,106727
Brazoria County, TX,330242,338124,346312,354195,362457,370200
Brazos County, TX,203164,209152,215037,220417,222830,226758
Brevard County, FL,550823,556885,568088,579130,589162,596849
Bristol County, MA,552780,554194,556772,558324,561483,564022
Bronx County, NY,1418733,1438159,1455444,1455720,1471160,1432132
Broome County, NY,197534,197349,196567,195334,193639,191659
Broomfield County, CO,,,65065,66529,68341,69267
Broward County, FL,1838844,1869235,1896425,1909632,1935878,1951260
Brown County, WI,254586,256670,258718,260401,262052,263378
Brunswick County, NC,115301,118836,122765,126953,130897,136744
Buchanan County, MO,89631,89486,89100,88938,89065,88571
Bucks County, PA,626976,626685,627367,626399,628341,628195
Bullitt County, KY,76854,77955,78702,79151,80246,81069
Bulloch County, GA,71214,72087,72651,74722,76149,77296
Buncombe County, NC,247912,250539,253178,256088,257607,259103
Burke County, NC,89842,89486,88842,88851,89293,90382
Burleigh County, ND,88457,90503,92991,94487,95030,95273
Burlington County, NJ,450838,449722,450226,449284,448596,445384
Butler County, KS,65803,66227,66741,67025,66878,66765
Butler County, OH,371272,374158,376353,377537,380604,382378
Butler County, PA,185476,185943,186818,186847,187108,187888
Butte County, CA,222090,224241,225411,226864,229294,231256
Cabarrus County, NC,187226,192103,196762,201590,206872,211342
Cabell County, WV,97133,97109,96844,95987,94958,93224
Cache County, UT,116909,118343,120783,122753,124438,127068
Caddo Parish, LA,254887,252603,251460,248851,246581,242922
Caguas Municipio, PR,139559,137032,134481,132164,129604,124434
Calcasieu Parish, LA,195296,197204,198788,200601,202445,203112
Caldwell County, NC,81990,81484,81287,81449,81981,82029
Calhoun County, AL,116736,115916,115620,114611,114728,114277
Calhoun County, MI,135012,134878,134314,134386,134128,134487
Calvert County, MD,90484,90613,90595,91251,91502,92003
Cambria County, PA,140499,137732,136411,134732,133054,131730
Camden County, NJ,512854,511038,510923,510150,510719,507078
Cameron County, TX,417276,420392,422156,422135,423725,423908
Campbell County, KY,90988,91833,92066,92211,92488,93152
Canadian County, OK,126123,129582,133378,136532,139926,144447
Canyon County, ID,198871,203143,207478,211698,216699,223499
Cape Girardeau County, MO,77320,78043,78572,78913,78161,78753
Cape May County, NJ,95897,95344,94727,94430,93553,92560
Carbon County, PA,64786,64441,63960,63594,63853,64227
Carolina Municipio, PR,169597,165820,161884,158457,154489,147661
