,County,2013,2014,2015,2016,2017,2018,Data
20,Cabarrus County,,,,,,,
56,Gaston County,,,,,,,
80,Lancaster County,,,,,,,
94,Mecklenburg County,,,,,,,
132,Union County,,,,,,,
145,York County,,,,,,,
166,Cabarrus County,,,,,,,
202,Gaston County,,,,,,,
226,Lancaster County,,,,,,,
240,Mecklenburg County,,,,,,,
278,Union County,,,,,,,
291,York County,,,,,,,
312,Cabarrus County,,,,,,,
348,Gaston County,,,,,,,
372,Lancaster County,,,,,,,
386,Mecklenburg County,,,,,,,
424,Union County,,,,,,,
437,York County,,,,,,,
458,Cabarrus County,,,,,,,
494,Gaston County,,,,,,,
518,Lancaster County,,,,,,,
532,Mecklenburg County,,,,,,,
570,Union County,,,,,,,
583,York County,,,,,,,
604,Cabarrus County,,,,,,,
640,Gaston County,,,,,,,
664,Lancaster County,,,,,,,
678,Mecklenburg County,,,,,,,
716,Union County,,,,,,,
729,York County,,,,,,,
750,Cabarrus County,,,,,,,
786,Gaston County,,,,,,,
810,Lancaster County,,,,,,,
824,Mecklenburg County,,,,,,,
862,Union County,,,,,,,
875,York County,,,,,,,
20,Cabarrus County,,,,,,,
56,Gaston County,,,,,,,
80,Lancaster County,,,,,,,
94,Mecklenburg County,,,,,,,
132,Union County,,,,,,,
133,Union County,,,,,,,
145,York County,,,,,,,
166,Cabarrus County,,,,,,,
202,Gaston County,,,,,,,
226,Lancaster County,,,,,,,
240,Mecklenburg County,,,,,,,
278,Union County,,,,,,,
279,Union County,,,,,,,
291,York County,,,,,,,
312,Cabarrus County,,,,,,,
348,Gaston County,,,,,,,
372,Lancaster County,,,,,,,
386,Mecklenburg County,,,,,,,
424,Union County,,,,,,,
425,Union County,,,,,,,
437,York County,,,,,,,
458,Cabarrus County,,,,,,,
494,Gaston County,,,,,,,
518,Lancaster County,,,,,,,
532,Mecklenburg County,,,,,,,
570,Union County,,,,,,,
571,Union County,,,,,,,
583,York County,,,,,,,
604,Cabarrus County,,,,,,,
640,Gaston County,,,,,,,
664,Lancaster County,,,,,,,
678,Mecklenburg County,,,,,,,
716,Union County,,,,,,,
717,Union County,,,,,,,
729,York County,,,,,,,
750,Cabarrus County,,,,,,,
786,Gaston County,,,,,,,
810,Lancaster County,,,,,,,
824,Mecklenburg County,,,,,,,
862,Union County,,,,,,,
863,Union County,,,,,,,
875,York County,,,,,,,
97,Cabarrus County,,,,,,,
276,Gaston County,,,,,,,
404,Lancaster County,,,,,,,
481,Mecklenburg County,,,,,,,
757,Union County,,,,,,,
831,York County,,,,,,,
931,Cabarrus County,,,,,,,
1110,Gaston County,,,,,,,
1238,Lancaster County,,,,,,,
1315,Mecklenburg County,,,,,,,
1591,Union County,,,,,,,
1665,York County,,,,,,,
1765,Cabarrus County,,,,,,,
1944,Gaston County,,,,,,,
2072,Lancaster County,,,,,,,
2149,Mecklenburg County,,,,,,,
