,Data,County,Stat,Year
20,Med Monthly Home Cost,Cabarrus County,1372,2013
56,Med Monthly Home Cost,Gaston County,1179,2013
80,Med Monthly Home Cost,Lancaster County,1149,2013
94,Med Monthly Home Cost,Mecklenburg County,1474,2013
132,Med Monthly Home Cost,Union County,1486,2013
145,Med Monthly Home Cost,York County,1296,2013
20,Med Monthly Income,Cabarrus County,4269.5,2013
56,Med Monthly Income,Gaston County,4783.67,2013
80,Med Monthly Income,Lancaster County,5098,2013
94,Med Monthly Income,Mecklenburg County,5330.08,2013
132,Med Monthly Income,Union County,6154.25,2013
133,Med Monthly Income,Union County,6197.75,2013
145,Med Monthly Income,York County,8471.42,2013
97,Med Prop Value,Cabarrus County,168400,2013
276,Med Prop Value,Gaston County,122400,2013
404,Med Prop Value,Lancaster County,150100,2013
481,Med Prop Value,Mecklenburg County,176600,2013
757,Med Prop Value,Union County,191100,2013
831,Med Prop Value,York County,157500,2013
132,Med Sale Price,Cabarrus County,138617,2013
411,Med Sale Price,Gaston County,103633,2013
621,Med Sale Price,Lancaster County,142957,2013
736,Med Sale Price,Mecklenburg County,168792,2013
1138,Med Sale Price,Union County,#DIV/0!,2013
1139,Med Sale Price,Union County,173633,2013
1253,Med Sale Price,York County,166475,2013
303,Avg On Market Homes,Cabarrus County,207,2013
945,Avg On Market Homes,Gaston County,215,2013
1452,Avg On Market Homes,Lancaster County,99,2013
1700,Avg On Market Homes,Mecklenburg County,1433,2013
1701,Avg On Market Homes,Mecklenburg County,24,2013
2596,Avg On Market Homes,Union County,274,2013
2839,Avg On Market Homes,York County,514,2013
97,Med Annual Income,Cabarrus County,54307,2013
276,Med Annual Income,Gaston County,41728,2013
404,Med Annual Income,Lancaster County,38500,2013
481,Med Annual Income,Mecklenburg County,54278,2013
757,Med Annual Income,Union County,63355,2013
831,Med Annual Income,York County,54439,2013
97,Med County Pop,Cabarrus County,187226,2013
276,Med County Pop,Gaston County,209420,2013
404,Med County Pop,Lancaster County,80458,2013
481,Med County Pop,Mecklenburg County,990977,2013
757,Med County Pop,Union County,212756,2013
831,Med County Pop,York County,239363,2013
,Med Monthly Home Cost,Cabarrus County,1359,2014
,Med Monthly Home Cost,Gaston County,1176,2014
,Med Monthly Home Cost,Lancaster County,1126,2014
,Med Monthly Home Cost,Mecklenburg County,1453,2014
,Med Monthly Home Cost,Union County,1472,2014
